time	0_8m	0_8m_stdev	2m	2m_stdev
00:20	0.00394589	0.0019051	0.00513447	0.00188038
00:40	0.00433229	0.00296331	0.00523179	0.00276768
01:00	0.0041163	0.0015416	0.00516872	0.00325292
01:20	0.00685465	0.00609244	0.00612478	0.00267707
01:40	0.00431577	0.00194814	0.00462781	0.00247453
02:00	0.00465071	0.00215857	0.00557257	0.00294162
02:20	0.00473701	0.00178221	0.00479245	0.00220745
02:40	0.00364354	0.00202875	0.00800023	0.00360327
03:00	0.00437165	0.00233676	0.00577004	0.00353381
03:20	0.00493152	0.00175921	0.00574867	0.00194796
03:40	0.00392323	0.0017382	0.00502832	0.00322351
04:00	0.00375186	0.00184494	0.005557	0.0019499
04:20	0.00400568	0.00140452	0.0049587	0.0020259
04:40	0.00455659	0.00230397	0.00463614	0.00274806
05:00	0.00383602	0.00181695	0.00477225	0.00226661
05:20	0.00413715	0.00270175	0.00511848	0.00249541
05:40	0.00582993	0.00280233	0.00489343	0.00270753
06:00	0.02419499	0.02368586	0.03057627	0.02682918
06:20	0.10875898	0.07876782	0.08404706	0.06265572
06:40	0.15815908	0.13779078	0.1384488	0.05028676
07:00	0.15360762	0.11179772	0.16757434	0.1747457
07:20	0.15009742	0.11856713	0.17323296	0.13566479
07:40	0.17632038	0.14859721	0.22709304	0.16990193
08:00	0.19493656	0.15591832	0.3095958	0.22115858
08:20	0.24665488	0.20212411	0.2641618	0.15387212
08:40	0.2146904	0.15589462	0.2817898	0.21000563
09:00	0.22278282	0.14789653	0.2444484	0.09589819
09:20	0.25088412	0.16365117	0.318155	0.17887894
09:40	0.2533258	0.16219503	0.3060428	0.15194203
10:00	0.2437484	0.12932863	0.3011706	0.08249825
10:20	0.2560244	0.12625687	0.3019614	0.08517626
10:40	0.3057832	0.19636694	0.3346052	0.0845253
11:00	0.3092522	0.1878564	0.3703138	0.08841091
11:20	0.2741864	0.09539677	0.3463776	0.05151444
11:40	0.2572618	0.07938894	0.333675	0.08786206
12:00	0.2474728	0.06047644	0.3290236	0.07506854
12:20	0.249353	0.05085626	0.3519764	0.06882895
12:40	0.2609434	0.07449776	0.344709	0.08587032
13:00	0.249644	0.0618999	0.3560724	0.07277126
13:20	0.248961	0.06244117	0.3199312	0.04041998
13:40	0.2358852	0.03644147	0.298854	0.03635197
14:00	0.2231874	0.02842824	0.281326	0.02531493
14:20	0.2183044	0.02461922	0.2747788	0.02560511
14:40	0.2159418	0.02480466	0.27013	0.02820027
15:00	0.2104138	0.02493125	0.2683306	0.02229626
15:20	0.2062324	0.02248968	0.2584348	0.02091652
15:40	0.2012238	0.01862149	0.2540586	0.02053946
16:00	0.2019492	0.01826559	0.2496172	0.02053658
16:20	0.1982152	0.01792134	0.2446902	0.01875302
16:40	0.1957266	0.01683148	0.2408114	0.0163128
17:00	0.1932102	0.01575382	0.2386804	0.01697496
17:20	0.1919574	0.01563614	0.238832	0.0175005
17:40	0.1902624	0.01730388	0.2357024	0.01712764
18:00	0.1878756	0.01508126	0.2332518	0.01734322
18:20	0.1872138	0.01483843	0.230883	0.01911062
18:40	0.185211	0.01513061	0.2307058	0.01777056
19:00	0.1851478	0.01462187	0.228067	0.0205981
19:20	0.1818862	0.01425733	0.2261052	0.01702758
19:40	0.1802128	0.01604756	0.2242452	0.01823653
20:00	0.1799924	0.01654221	0.2215784	0.01865512
20:20	0.1766232	0.01612018	0.2189218	0.02012404
20:40	0.1753922	0.01542809	0.2194892	0.01914591
21:00	0.1728342	0.01609172	0.2220594	0.01734338
21:20	0.1731214	0.01674521	0.2222146	0.01582799
21:40	0.1708962	0.01712603	0.2204856	0.01733142
22:00	0.1725664	0.01629789	0.2193476	0.01526763
22:20	0.1713178	0.01764096	0.215928	0.01698756
22:40	0.1679962	0.01682604	0.2145678	0.01856492
23:00	0.1691056	0.01540539	0.2133676	0.01676204
23:20	0.1659574	0.01677648	0.2115894	0.01660679
23:40	0.1658074	0.01753088	0.2088264	0.01603191
24:00	0.16627	0.01644222	0.2071454	0.01532971
24:20	0.1633068	0.01748627	0.206346	0.01615896
24:40	0.1619334	0.01791593	0.205664	0.01933111
25:00	0.1622716	0.016317	0.2032826	0.01983318
25:20	0.1624104	0.01522244	0.2028638	0.01787846
25:40	0.160519	0.01627973	0.2004766	0.01539543
26:00	0.1616048	0.0160856	0.1990216	0.01845454
26:20	0.157123	0.01815924	0.1980834	0.01622098
26:40	0.1566854	0.01768585	0.1968522	0.01795862
27:00	0.1550432	0.01616419	0.1934606	0.01743795
27:20	0.1532914	0.01658526	0.1915746	0.01551181
27:40	0.1513736	0.01692529	0.192259	0.02001441
28:00	0.1506354	0.01627563	0.1899594	0.0176053
28:20	0.153331	0.01633591	0.1895308	0.01619795
28:40	0.1512238	0.01320797	0.1865396	0.01669088
29:00	0.150727	0.01675649	0.1861524	0.01780477
29:20	0.1504524	0.01620932	0.1854572	0.01831513
29:40	0.149766	0.01603705	0.1833604	0.01694535
30:00	0.1469208	0.01502965	0.1823752	0.01681001
30:20	0.1441448	0.01626374	0.179745	0.01807272
30:40	0.1435608	0.01683814	0.1773598	0.02216199
31:00	0.1431688	0.01796404	0.1778852	0.01923946
31:20	0.1421228	0.01760905	0.1782196	0.01991371
31:40	0.1391272	0.01726628	0.1769604	0.02311969
32:00	0.1377166	0.01771532	0.1747462	0.02257498
32:20	0.1374454	0.01733641	0.1738938	0.02418149
32:40	0.1374124	0.01839473	0.172108	0.02452867
33:00	0.1364866	0.01801581	0.1714954	0.02212035
33:20	0.1361124	0.01733854	0.1707434	0.02451434
33:40	0.135485	0.01747359	0.1717468	0.0203452
34:00	0.1353782	0.01621992	0.1693586	0.02020248
34:20	0.1334934	0.01728674	0.1680756	0.02208344
34:40	0.1344472	0.01515019	0.1684772	0.02153094
35:00	0.1334504	0.01622942	0.1642994	0.02153458
35:20	0.1328378	0.01604738	0.1640606	0.02203085
35:40	0.1313774	0.01601798	0.1643754	0.02445182
36:00	0.129837	0.0163552	0.1635478	0.02099972
36:20	0.128455	0.01687944	0.1603912	0.02380416
36:40	0.1292314	0.0141732	0.1612516	0.0233808
37:00	0.1303008	0.01452035	0.1607706	0.02117671
37:20	0.1264144	0.01570322	0.1568484	0.02028681
37:40	0.1273616	0.01650485	0.1567696	0.02358637
38:00	0.1251286	0.01547653	0.1560474	0.02227421
38:20	0.1249006	0.01498102	0.1551518	0.02325747
38:40	0.1243498	0.01690317	0.1540652	0.02370216
39:00	0.123429	0.01457415	0.1532784	0.02276784
39:20	0.1221884	0.01519149	0.1532134	0.0208813
39:40	0.122389	0.01548011	0.1512268	0.02243984
40:00	0.1205866	0.01460255	0.148535	0.0222247
40:20	0.1201026	0.01525029	0.1479612	0.02193991
40:40	0.119115	0.01611646	0.149687	0.02157998
41:00	0.1187356	0.01531004	0.1475448	0.02074981
41:20	0.1172836	0.0159605	0.146654	0.02043579
41:40	0.1177772	0.01459384	0.1465408	0.01959291
42:00	0.1162686	0.01516007	0.145737	0.02159412
42:20	0.1146286	0.01551192	0.1443036	0.02023635
42:40	0.1160016	0.01553072	0.1420322	0.01970141
43:00	0.1150162	0.01414512	0.1432482	0.01902391
43:20	0.1147548	0.01499357	0.1423038	0.01878035
43:40	0.11228552	0.01565461	0.1408148	0.02163023
44:00	0.112199	0.01510557	0.139307	0.02094705
44:20	0.11095318	0.01577291	0.1370484	0.02047711
44:40	0.1099704	0.01630114	0.1374754	0.02010961
45:00	0.11113224	0.01432147	0.1374252	0.01924679
