time	average	stdev
00:20	0.00513447	0.00188038
00:40	0.00523179	0.00276768
01:00	0.00516872	0.00325292
01:20	0.00612478	0.00267707
01:40	0.00462781	0.00247453
02:00	0.00557257	0.00294162
02:20	0.00479245	0.00220745
02:40	0.00800023	0.00360327
03:00	0.00577004	0.00353381
03:20	0.00574867	0.00194796
03:40	0.00502832	0.00322351
04:00	0.00555700	0.00194990
04:20	0.00495870	0.00202590
04:40	0.00463614	0.00274806
05:00	0.00477225	0.00226661
05:20	0.00511848	0.00249541
05:40	0.00489343	0.00270753
06:00	0.03057627	0.02682918
06:20	0.08404706	0.06265572
06:40	0.13844880	0.05028676
07:00	0.16757434	0.17474570
07:20	0.17323296	0.13566479
07:40	0.22709304	0.16990193
08:00	0.30959580	0.22115858
08:20	0.26416180	0.15387212
08:40	0.28178980	0.21000563
09:00	0.24444840	0.09589819
09:20	0.31815500	0.17887894
09:40	0.30604280	0.15194203
10:00	0.30117060	0.08249825
10:20	0.30196140	0.08517626
10:40	0.33460520	0.08452530
11:00	0.37031380	0.08841091
11:20	0.34637760	0.05151444
11:40	0.33367500	0.08786206
12:00	0.32902360	0.07506854
12:20	0.35197640	0.06882895
12:40	0.34470900	0.08587032
13:00	0.35607240	0.07277126
13:20	0.31993120	0.04041998
13:40	0.29885400	0.03635197
14:00	0.28132600	0.02531493
14:20	0.27477880	0.02560511
14:40	0.27013000	0.02820027
15:00	0.26833060	0.02229626
15:20	0.25843480	0.02091652
15:40	0.25405860	0.02053946
16:00	0.24961720	0.02053658
16:20	0.24469020	0.01875302
16:40	0.24081140	0.01631280
17:00	0.23868040	0.01697496
17:20	0.23883200	0.01750050
17:40	0.23570240	0.01712764
18:00	0.23325180	0.01734322
18:20	0.23088300	0.01911062
18:40	0.23070580	0.01777056
19:00	0.22806700	0.02059810
19:20	0.22610520	0.01702758
19:40	0.22424520	0.01823653
20:00	0.22157840	0.01865512
20:20	0.21892180	0.02012404
20:40	0.21948920	0.01914591
21:00	0.22205940	0.01734338
21:20	0.22221460	0.01582799
21:40	0.22048560	0.01733142
22:00	0.21934760	0.01526763
22:20	0.21592800	0.01698756
22:40	0.21456780	0.01856492
23:00	0.21336760	0.01676204
23:20	0.21158940	0.01660679
23:40	0.20882640	0.01603191
24:00	0.20714540	0.01532971
24:20	0.20634600	0.01615896
24:40	0.20566400	0.01933111
25:00	0.20328260	0.01983318
25:20	0.20286380	0.01787846
25:40	0.20047660	0.01539543
26:00	0.19902160	0.01845454
26:20	0.19808340	0.01622098
26:40	0.19685220	0.01795862
27:00	0.19346060	0.01743795
27:20	0.19157460	0.01551181
27:40	0.19225900	0.02001441
28:00	0.18995940	0.01760530
28:20	0.18953080	0.01619795
28:40	0.18653960	0.01669088
29:00	0.18615240	0.01780477
29:20	0.18545720	0.01831513
29:40	0.18336040	0.01694535
30:00	0.18237520	0.01681001
30:20	0.17974500	0.01807272
30:40	0.17735980	0.02216199
31:00	0.17788520	0.01923946
31:20	0.17821960	0.01991371
31:40	0.17696040	0.02311969
32:00	0.17474620	0.02257498
32:20	0.17389380	0.02418149
32:40	0.17210800	0.02452867
33:00	0.17149540	0.02212035
33:20	0.17074340	0.02451434
33:40	0.17174680	0.02034520
34:00	0.16935860	0.02020248
34:20	0.16807560	0.02208344
34:40	0.16847720	0.02153094
35:00	0.16429940	0.02153458
35:20	0.16406060	0.02203085
35:40	0.16437540	0.02445182
36:00	0.16354780	0.02099972
36:20	0.16039120	0.02380416
36:40	0.16125160	0.02338080
37:00	0.16077060	0.02117671
37:20	0.15684840	0.02028681
37:40	0.15676960	0.02358637
38:00	0.15604740	0.02227421
38:20	0.15515180	0.02325747
38:40	0.15406520	0.02370216
39:00	0.15327840	0.02276784
39:20	0.15321340	0.02088130
39:40	0.15122680	0.02243984
40:00	0.14853500	0.02222470
40:20	0.14796120	0.02193991
40:40	0.14968700	0.02157998
41:00	0.14754480	0.02074981
41:20	0.14665400	0.02043579
41:40	0.14654080	0.01959291
42:00	0.14573700	0.02159412
42:20	0.14430360	0.02023635
42:40	0.14203220	0.01970141
43:00	0.14324820	0.01902391
43:20	0.14230380	0.01878035
43:40	0.14081480	0.02163023
44:00	0.13930700	0.02094705
44:20	0.13704840	0.02047711
44:40	0.13747540	0.02010961
45:00	0.13742520	0.01924679
