time	average	stdev
00:20	0.00394589	0.00190510
00:40	0.00433229	0.00296331
01:00	0.00411630	0.00154160
01:20	0.00685465	0.00609244
01:40	0.00431577	0.00194814
02:00	0.00465071	0.00215857
02:20	0.00473701	0.00178221
02:40	0.00364354	0.00202875
03:00	0.00437165	0.00233676
03:20	0.00493152	0.00175921
03:40	0.00392323	0.00173820
04:00	0.00375186	0.00184494
04:20	0.00400568	0.00140452
04:40	0.00455659	0.00230397
05:00	0.00383602	0.00181695
05:20	0.00413715	0.00270175
05:40	0.00582993	0.00280233
06:00	0.02419499	0.02368586
06:20	0.10875898	0.07876782
06:40	0.15815908	0.13779078
07:00	0.15360762	0.11179772
07:20	0.15009742	0.11856713
07:40	0.17632038	0.14859721
08:00	0.19493656	0.15591832
08:20	0.24665488	0.20212411
08:40	0.21469040	0.15589462
09:00	0.22278282	0.14789653
09:20	0.25088412	0.16365117
09:40	0.25332580	0.16219503
10:00	0.24374840	0.12932863
10:20	0.25602440	0.12625687
10:40	0.30578320	0.19636694
11:00	0.30925220	0.18785640
11:20	0.27418640	0.09539677
11:40	0.25726180	0.07938894
12:00	0.24747280	0.06047644
12:20	0.24935300	0.05085626
12:40	0.26094340	0.07449776
13:00	0.24964400	0.06189990
13:20	0.24896100	0.06244117
13:40	0.23588520	0.03644147
14:00	0.22318740	0.02842824
14:20	0.21830440	0.02461922
14:40	0.21594180	0.02480466
15:00	0.21041380	0.02493125
15:20	0.20623240	0.02248968
15:40	0.20122380	0.01862149
16:00	0.20194920	0.01826559
16:20	0.19821520	0.01792134
16:40	0.19572660	0.01683148
17:00	0.19321020	0.01575382
17:20	0.19195740	0.01563614
17:40	0.19026240	0.01730388
18:00	0.18787560	0.01508126
18:20	0.18721380	0.01483843
18:40	0.18521100	0.01513061
19:00	0.18514780	0.01462187
19:20	0.18188620	0.01425733
19:40	0.18021280	0.01604756
20:00	0.17999240	0.01654221
20:20	0.17662320	0.01612018
20:40	0.17539220	0.01542809
21:00	0.17283420	0.01609172
21:20	0.17312140	0.01674521
21:40	0.17089620	0.01712603
22:00	0.17256640	0.01629789
22:20	0.17131780	0.01764096
22:40	0.16799620	0.01682604
23:00	0.16910560	0.01540539
23:20	0.16595740	0.01677648
23:40	0.16580740	0.01753088
24:00	0.16627000	0.01644222
24:20	0.16330680	0.01748627
24:40	0.16193340	0.01791593
25:00	0.16227160	0.01631700
25:20	0.16241040	0.01522244
25:40	0.16051900	0.01627973
26:00	0.16160480	0.01608560
26:20	0.15712300	0.01815924
26:40	0.15668540	0.01768585
27:00	0.15504320	0.01616419
27:20	0.15329140	0.01658526
27:40	0.15137360	0.01692529
28:00	0.15063540	0.01627563
28:20	0.15333100	0.01633591
28:40	0.15122380	0.01320797
29:00	0.15072700	0.01675649
29:20	0.15045240	0.01620932
29:40	0.14976600	0.01603705
30:00	0.14692080	0.01502965
30:20	0.14414480	0.01626374
30:40	0.14356080	0.01683814
31:00	0.14316880	0.01796404
31:20	0.14212280	0.01760905
31:40	0.13912720	0.01726628
32:00	0.13771660	0.01771532
32:20	0.13744540	0.01733641
32:40	0.13741240	0.01839473
33:00	0.13648660	0.01801581
33:20	0.13611240	0.01733854
33:40	0.13548500	0.01747359
34:00	0.13537820	0.01621992
34:20	0.13349340	0.01728674
34:40	0.13444720	0.01515019
35:00	0.13345040	0.01622942
35:20	0.13283780	0.01604738
35:40	0.13137740	0.01601798
36:00	0.12983700	0.01635520
36:20	0.12845500	0.01687944
36:40	0.12923140	0.01417320
37:00	0.13030080	0.01452035
37:20	0.12641440	0.01570322
37:40	0.12736160	0.01650485
38:00	0.12512860	0.01547653
38:20	0.12490060	0.01498102
38:40	0.12434980	0.01690317
39:00	0.12342900	0.01457415
39:20	0.12218840	0.01519149
39:40	0.12238900	0.01548011
40:00	0.12058660	0.01460255
40:20	0.12010260	0.01525029
40:40	0.11911500	0.01611646
41:00	0.11873560	0.01531004
41:20	0.11728360	0.01596050
41:40	0.11777720	0.01459384
42:00	0.11626860	0.01516007
42:20	0.11462860	0.01551192
42:40	0.11600160	0.01553072
43:00	0.11501620	0.01414512
43:20	0.11475480	0.01499357
43:40	0.11228552	0.01565461
44:00	0.11219900	0.01510557
44:20	0.11095318	0.01577291
44:40	0.10997040	0.01630114
45:00	0.11113224	0.01432147
