time	average	stdev
00:20	0.00730218	0.00474221
00:40	0.00770658	0.00484369
01:00	0.00636708	0.00482485
01:20	0.00604712	0.00410156
01:40	0.00683607	0.00458835
02:00	0.00700115	0.00350873
02:20	0.00682676	0.00423964
02:40	0.00567745	0.00360363
03:00	0.00643197	0.00453274
03:20	0.00688966	0.00484878
03:40	0.00595699	0.00358109
04:00	0.00585580	0.00379639
04:20	0.00603542	0.00314539
04:40	0.00687222	0.00500019
05:00	0.00604735	0.00392514
05:20	0.00631123	0.00322991
05:40	0.00700483	0.00244554
06:00	0.02385556	0.01754443
06:20	0.06038138	0.01888913
06:40	0.03731036	0.01306806
07:00	0.04382996	0.01766084
07:20	0.03354506	0.00606495
07:40	0.02974246	0.01037448
08:00	0.04708970	0.02077378
08:20	0.03998756	0.01487323
08:40	0.04031298	0.01490146
09:00	0.03086612	0.01072512
09:20	0.04055740	0.01702339
09:40	0.03515808	0.01245481
10:00	0.03878570	0.01796104
10:20	0.03568002	0.00963879
10:40	0.04121780	0.01023613
11:00	0.05498672	0.02325156
11:20	0.05516968	0.01622867
11:40	0.05211810	0.01287212
12:00	0.06340052	0.01673461
12:20	0.05880500	0.02686592
12:40	0.06766256	0.03333012
13:00	0.07109266	0.01314251
13:20	0.06804872	0.03789624
13:40	0.07945980	0.03707775
14:00	0.06056460	0.02290877
14:20	0.05473960	0.02732958
14:40	0.04337130	0.01828938
15:00	0.05250788	0.02473455
15:20	0.04690948	0.01699230
15:40	0.03442790	0.00948174
16:00	0.02951630	0.00584909
16:20	0.02426458	0.00231716
16:40	0.02439712	0.00229858
17:00	0.02461416	0.00143979
17:20	0.02456182	0.00192407
17:40	0.02512030	0.00247054
18:00	0.02501464	0.00347035
18:20	0.02417312	0.00281518
18:40	0.02380786	0.00225574
19:00	0.02347916	0.00269296
19:20	0.02395002	0.00263873
19:40	0.02371330	0.00182748
20:00	0.02275936	0.00282991
20:20	0.02317282	0.00320918
20:40	0.02257154	0.00290269
21:00	0.02277646	0.00283301
21:20	0.02390394	0.00294820
21:40	0.02269308	0.00296131
22:00	0.02254636	0.00264109
22:20	0.02262606	0.00278844
22:40	0.02177986	0.00262513
23:00	0.02213264	0.00339390
23:20	0.02151558	0.00290272
23:40	0.02209436	0.00315023
24:00	0.02129050	0.00314160
24:20	0.02136922	0.00302404
24:40	0.02190010	0.00305114
25:00	0.02108138	0.00264666
25:20	0.02084458	0.00220373
25:40	0.02130404	0.00255445
26:00	0.02072336	0.00277786
26:20	0.02001810	0.00257097
26:40	0.02027196	0.00287348
27:00	0.02081032	0.00354192
27:20	0.01982340	0.00277729
27:40	0.01975090	0.00265734
28:00	0.01995970	0.00249110
28:20	0.01996968	0.00275340
28:40	0.01957426	0.00234940
29:00	0.01958674	0.00249747
29:20	0.02018876	0.00327564
29:40	0.01932778	0.00257103
30:00	0.01946848	0.00249876
30:20	0.01898642	0.00239151
30:40	0.01880972	0.00236827
31:00	0.01901628	0.00267259
31:20	0.01878336	0.00223772
31:40	0.01874122	0.00254102
32:00	0.01893634	0.00231766
32:20	0.01841246	0.00218765
32:40	0.01844520	0.00240021
33:00	0.01804318	0.00229670
33:20	0.01823264	0.00246900
33:40	0.01850724	0.00270683
34:00	0.01868034	0.00320257
34:20	0.01760598	0.00190143
34:40	0.01786000	0.00202252
35:00	0.01751052	0.00213199
35:20	0.01745696	0.00195947
35:40	0.01766598	0.00242280
36:00	0.01764230	0.00218879
36:20	0.01698930	0.00181583
36:40	0.01734932	0.00234890
37:00	0.01690222	0.00228251
37:20	0.01689700	0.00196990
37:40	0.01691440	0.00240130
38:00	0.01654364	0.00191538
38:20	0.01650948	0.00222188
38:40	0.01636300	0.00226991
39:00	0.01623054	0.00198465
39:20	0.01640004	0.00198131
39:40	0.01588296	0.00185010
40:00	0.01620898	0.00149306
40:20	0.01631226	0.00238873
40:40	0.01591072	0.00213007
41:00	0.01629442	0.00104494
41:20	0.01555998	0.00205243
41:40	0.01522986	0.00175300
42:00	0.01580156	0.00197683
42:20	0.01557642	0.00235743
42:40	0.01513166	0.00138971
43:00	0.01591180	0.00272376
43:20	0.01535850	0.00168432
43:40	0.01530714	0.00185307
44:00	0.01519404	0.00146696
44:20	0.01527276	0.00217686
44:40	0.01525174	0.00242035
45:00	0.01488398	0.00197404
