time	average	stdev
00:20	0.00724741	0.00472638
00:40	0.00843840	0.00645981
01:00	0.00740303	0.00480057
01:20	0.00969243	0.00712262
01:40	0.00800222	0.00518628
02:00	0.00931028	0.00587402
02:20	0.00732386	0.00448636
02:40	0.00808962	0.00489731
03:00	0.00778791	0.00532170
03:20	0.00845789	0.00566072
03:40	0.00767455	0.00514780
04:00	0.00806190	0.00413494
04:20	0.00921361	0.00360851
04:40	0.00773777	0.00482028
05:00	0.00776293	0.00397824
05:20	0.00821750	0.00399726
05:40	0.00860555	0.00435369
06:00	0.01013742	0.00609200
06:20	0.01734541	0.00895862
06:40	0.01972777	0.01158539
07:00	0.02449092	0.01604478
07:20	0.02119718	0.01047583
07:40	0.01801910	0.00820536
08:00	0.02090942	0.00512626
08:20	0.02561740	0.01016306
08:40	0.02438338	0.00653884
09:00	0.02560996	0.00690621
09:20	0.02592432	0.01496367
09:40	0.03207198	0.00731625
10:00	0.02907448	0.00841771
10:20	0.02838494	0.00560978
10:40	0.03215200	0.00838117
11:00	0.03502964	0.00476277
11:20	0.03405846	0.01008960
11:40	0.03421420	0.00913184
12:00	0.03458274	0.00822215
12:20	0.03809368	0.00894473
12:40	0.03538182	0.00940551
13:00	0.03739360	0.00859847
13:20	0.03785964	0.00445884
13:40	0.03322824	0.00541614
14:00	0.03933564	0.01195617
14:20	0.04076028	0.01228717
14:40	0.03346850	0.00565131
15:00	0.03456390	0.00779844
15:20	0.03649718	0.00801113
15:40	0.03209214	0.00600728
16:00	0.03052372	0.00385613
16:20	0.02822336	0.00327680
16:40	0.02855566	0.00299263
17:00	0.02857524	0.00231027
17:20	0.02812938	0.00210966
17:40	0.02797278	0.00267286
18:00	0.02781272	0.00306588
18:20	0.02916194	0.00367722
18:40	0.02801930	0.00304172
19:00	0.02753494	0.00349227
19:20	0.02750396	0.00348332
19:40	0.02671724	0.00360850
20:00	0.02641818	0.00274747
20:20	0.02597004	0.00337889
20:40	0.02603652	0.00367559
21:00	0.02606462	0.00253632
21:20	0.02566036	0.00310885
21:40	0.02572990	0.00387584
22:00	0.02515742	0.00356111
22:20	0.02523502	0.00396432
22:40	0.02436662	0.00280118
23:00	0.02496102	0.00321091
23:20	0.02484894	0.00408107
23:40	0.02429460	0.00345254
24:00	0.02376798	0.00347713
24:20	0.02521378	0.00503448
24:40	0.02387688	0.00307282
25:00	0.02397428	0.00339924
25:20	0.02383098	0.00353859
25:40	0.02374416	0.00310597
26:00	0.02323552	0.00315204
26:20	0.02326190	0.00328781
26:40	0.02289668	0.00326542
27:00	0.02254128	0.00315357
27:20	0.02260400	0.00312711
27:40	0.02270078	0.00304951
28:00	0.02222006	0.00304995
28:20	0.02279528	0.00340029
28:40	0.02188098	0.00268815
29:00	0.02195066	0.00217879
29:20	0.02293668	0.00207488
29:40	0.02178664	0.00208410
30:00	0.02161878	0.00205315
30:20	0.02186380	0.00237685
30:40	0.02159532	0.00213088
31:00	0.02200434	0.00186582
31:20	0.02132522	0.00242798
31:40	0.02107086	0.00226982
32:00	0.02126142	0.00276007
32:20	0.02165082	0.00361733
32:40	0.02110802	0.00238898
33:00	0.02046730	0.00247195
33:20	0.02090494	0.00240892
33:40	0.02053008	0.00241597
34:00	0.01989732	0.00220832
34:20	0.02038546	0.00226006
34:40	0.02027568	0.00239125
35:00	0.01948400	0.00251774
35:20	0.01944906	0.00232661
35:40	0.01906912	0.00189528
36:00	0.01936474	0.00239388
36:20	0.01895146	0.00179400
36:40	0.01871792	0.00188023
37:00	0.01881004	0.00204208
37:20	0.01941168	0.00207059
37:40	0.01869570	0.00226642
38:00	0.01835026	0.00233983
38:20	0.01809886	0.00195547
38:40	0.01823102	0.00207381
39:00	0.01888906	0.00272995
39:20	0.01837088	0.00167676
39:40	0.01784248	0.00194519
40:00	0.01789650	0.00195557
40:20	0.01766046	0.00168954
40:40	0.01821110	0.00220864
41:00	0.01774940	0.00194289
41:20	0.01761294	0.00214219
41:40	0.01803722	0.00231236
42:00	0.01718770	0.00228915
42:20	0.01711718	0.00161742
42:40	0.01729010	0.00247197
43:00	0.01722932	0.00205943
43:20	0.01813626	0.00340691
43:40	0.01746942	0.00214820
44:00	0.01651978	0.00179476
44:20	0.01714526	0.00175267
44:40	0.01638580	0.00191284
45:00	0.01659888	0.00193504
