Time	Median_size_08 Median_size_2
00:20	3.18566	2.06417
00:40	3.88767	8.05683
01:00	1.70074	1.60614
01:20	2.30539	2.84818
01:40	2.41489	3.87261
02:00	2.5994	1.67007
02:20	1.73592	1.81356
02:40	1.49197	3.32736
03:00	2.00829	2.05108
03:20	3.62772	1.82113
03:40	1.3661	1.54138
04:00	1.95244	1.8815
04:20	1.66225	2.44781
04:40	1.8316	2.12606
05:00	1.71227	2.06014
05:20	1.68331	1.62328
05:40	1.4815	1.61051
06:00	1.11113	1.92297
06:20	1.03212	1.30401
06:40	0.992035	1.08972
07:00	0.946043	1.0058
07:20	0.975547	0.989861
07:40	0.898548	0.974286
08:00	0.899993	0.959983
08:20	0.915762	0.944316
08:40	0.903274	0.921828
09:00	0.872957	0.918403
09:20	0.883578	0.910267
09:40	0.877259	0.919508
10:00	0.873892	0.917668
10:20	0.868479	0.909132
10:40	0.853236	0.910543
11:00	0.881608	0.904847
11:20	0.865321	0.907775
11:40	0.861358	0.93074
12:00	0.856378	0.905946
12:20	0.849613	0.904696
12:40	0.854437	0.911388
13:00	0.859673	0.923646
13:20	0.853126	0.908967
13:40	0.84338	0.902307
14:00	0.84349	0.907354
14:20	0.856739	0.905558
14:40	0.859713	0.899113
15:00	0.848466	0.899114
15:20	0.847481	0.903125
15:40	0.851453	0.907581
16:00	0.865502	0.907673
16:20	0.85744	0.906067
16:40	0.851552	0.906663
17:00	0.860618	0.90396
17:20	0.85143	0.905357
17:40	0.854199	0.913366
18:00	0.853051	0.901012
18:20	0.85826	0.906649
18:40	0.856048	0.904786
19:00	0.856269	0.907014
19:20	0.847159	0.903097
19:40	0.846163	0.906908
20:00	0.847449	0.899309
20:20	0.842995	0.904467
20:40	0.849091	0.901016
21:00	0.846833	0.911364
21:20	0.863254	0.902509
21:40	0.843396	0.902902
22:00	0.840297	0.907086
22:20	0.845799	0.904115
22:40	0.843829	0.904205
23:00	0.84674	0.912435
23:20	0.845424	0.898401
23:40	0.842425	0.900569
24:00	0.847456	0.898952
24:20	0.846432	0.901079
24:40	0.847387	0.904933
25:00	0.84727	0.898552
25:20	0.848728	0.900237
25:40	0.843825	0.900796
26:00	0.846589	0.89993
26:20	0.844014	0.896176
26:40	0.842183	0.901728
27:00	0.850423	0.896838
27:20	0.847455	0.899425
27:40	0.84186	0.89498
28:00	0.845077	0.901495
28:20	0.848765	0.898943
28:40	0.848411	0.898956
29:00	0.846835	0.899237
29:20	0.847652	0.893047
29:40	0.842157	0.896625
30:00	0.846992	0.891963
30:20	0.842708	0.896009
30:40	0.844946	0.902992
31:00	0.842866	0.895857
31:20	0.85116	0.899743
31:40	0.845502	0.897387
32:00	0.845264	0.899886
32:20	0.84574	0.896918
32:40	0.845451	0.901519
33:00	0.844255	0.898991
33:20	0.843522	0.895971
33:40	0.842931	0.896373
34:00	0.842844	0.896657
34:20	0.844328	0.899257
34:40	0.844953	0.898038
35:00	0.845237	0.898944
35:20	0.843961	0.891625
35:40	0.842417	0.890614
36:00	0.843611	0.893545
36:20	0.846142	0.89803
36:40	0.844577	0.90012
37:00	0.844308	0.904774
37:20	0.841339	0.901549
37:40	0.845574	0.89724
38:00	0.847726	0.898347
38:20	0.844248	0.897068
38:40	0.844368	0.893038
39:00	0.844934	0.896226
39:20	0.844447	0.898891
39:40	0.84749	0.89435
40:00	0.844787	0.89481
40:20	0.844163	0.891451
40:40	0.843514	0.892303
41:00	0.840341	0.892669
41:20	0.845386	0.898817
41:40	0.842234	0.892115
42:00	0.843274	0.894653
42:20	0.849731	0.897029
42:40	0.845582	0.892859
43:00	0.842514	0.899465
43:20	0.843763	0.890992
43:40	0.852625	0.895361
44:00	0.845287	0.889141
44:20	0.843709	0.894945
44:40	0.847398	0.893933
45:00	0.843591	0.891814
