time	conc_08	conc_2
00:20	0.00404167	0.00363269
00:40	0.00385582	0.00363822
01:00	0.00337825	0.00331762
01:20	0.00303222	0.00473064
01:40	0.00280127	0.00315047
02:00	0.00522369	0.00440472
02:20	0.00411384	0.00335226
02:40	0.00334558	0.00531856
03:00	0.00297506	0.00413783
03:20	0.00279916	0.00370372
03:40	0.00375372	0.00393272
04:00	0.00327853	0.00322926
04:20	0.00404132	0.00469957
04:40	0.00306458	0.00323862
05:00	0.00261148	0.00328102
05:20	0.00298733	0.00400545
05:40	0.00568275	0.00678001
06:00	0.0521171	0.0184313
06:20	0.0504461	0.0276094
06:40	0.0320911	0.0321386
07:00	0.0671794	0.0424849
07:20	0.0328109	0.0245582
07:40	0.0223488	0.014585
08:00	0.0740351	0.0203829
08:20	0.0462457	0.0401489
08:40	0.0507466	0.0224432
09:00	0.0481767	0.0307974
09:20	0.055447	0.0263187
09:40	0.0560097	0.0367368
10:00	0.0705732	0.0439047
10:20	0.0465168	0.0357373
10:40	0.0485635	0.0410016
11:00	0.0843874	0.0395628
11:20	0.0810368	0.0401934
11:40	0.058883	0.049366
12:00	0.0553334	0.0471259
12:20	0.0943626	0.05079
12:40	0.123312	0.0499345
13:00	0.0858866	0.0517724
13:20	0.130327	0.0437708
13:40	0.145485	0.0396084
14:00	0.088847	0.0530335
14:20	0.0561129	0.0476206
14:40	0.0268874	0.0310674
15:00	0.0236373	0.0239146
15:20	0.022618	0.0241785
15:40	0.0212609	0.0243888
16:00	0.0223467	0.0242407
16:20	0.0206243	0.0235589
16:40	0.0214284	0.0235381
17:00	0.0222419	0.0253372
17:20	0.0211933	0.0252863
17:40	0.0214456	0.0238007
18:00	0.0197284	0.0230104
18:20	0.0196976	0.0231531
18:40	0.020802	0.0229669
19:00	0.019128	0.0213965
19:20	0.0196	0.0215243
19:40	0.0208818	0.0203573
20:00	0.0177427	0.0215895
20:20	0.0181082	0.0202018
20:40	0.0177599	0.0196808
21:00	0.0183083	0.0216606
21:20	0.0187822	0.0203709
21:40	0.018237	0.0190673
22:00	0.0180144	0.0192053
22:20	0.0178002	0.0189252
22:40	0.0175956	0.0195048
23:00	0.0170337	0.019885
23:20	0.0167727	0.0180084
23:40	0.0172206	0.018832
24:00	0.0163161	0.0179753
24:20	0.0162287	0.018066
24:40	0.0171705	0.0186002
25:00	0.0165865	0.0180406
25:20	0.0169784	0.0177447
25:40	0.0172231	0.0182679
26:00	0.0158581	0.018219
26:20	0.0156119	0.0177857
26:40	0.0155566	0.0173592
27:00	0.0153567	0.017323
27:20	0.0150169	0.0170626
27:40	0.0150543	0.0176199
28:00	0.0157961	0.0172437
28:20	0.0150913	0.0169054
28:40	0.0154427	0.0171358
29:00	0.0151834	0.0185095
29:20	0.015083	0.0206982
29:40	0.0149706	0.0182043
30:00	0.0151856	0.0180489
30:20	0.0148387	0.017941
30:40	0.0146297	0.0178039
31:00	0.0145215	0.0195679
31:20	0.0150807	0.0171535
31:40	0.0146647	0.0172584
32:00	0.0149131	0.0167459
32:20	0.0145685	0.0161837
32:40	0.0142508	0.0169455
33:00	0.0142311	0.0167713
33:20	0.0141727	0.0169589
33:40	0.0140424	0.0164968
34:00	0.0135428	0.0161084
34:20	0.0144171	0.0165572
34:40	0.0142957	0.0161565
35:00	0.0139385	0.0157234
35:20	0.0140597	0.0158119
35:40	0.0134968	0.0158843
36:00	0.0139017	0.0155194
36:20	0.0138801	0.0159957
36:40	0.0132904	0.0155261
37:00	0.012989	0.0154763
37:20	0.013479	0.0158988
37:40	0.0128855	0.0150932
38:00	0.013632	0.0144521
38:20	0.0126925	0.0147553
38:40	0.0124646	0.0148011
39:00	0.0128386	0.0143271
39:20	0.0130463	0.015822
39:40	0.0127063	0.0146035
40:00	0.0136935	0.0144993
40:20	0.0124408	0.0148247
40:40	0.0122783	0.0145043
41:00	0.0149643	0.014482
41:20	0.0120318	0.0141463
41:40	0.0122814	0.0140376
42:00	0.0123314	0.0134478
42:20	0.0114968	0.014321
42:40	0.0127777	0.0134572
43:00	0.0118639	0.0139189
43:20	0.0124309	0.0141886
43:40	0.0121598	0.0140023
44:00	0.012577	0.0138871
44:20	0.0117068	0.0142621
44:40	0.0114298	0.013329
45:00	0.0116174	0.0135476
